# subset_60_1based ge36000_1based old_1based seed_hex orbit closure_count_after_5_rounds
#DONE bfs=65544	1	732	827	0x10849a	60	26946
#DONE bfs=65544	2	733	828	0x108592	60	26946
#DONE bfs=65544	3	737	832	0x1088bc	60	48517
#DONE bfs=65544	4	767	862	0x108b06	60	50029
#DONE bfs=65544	5	769	864	0x108b1e	60	36849
#DONE bfs=65544	6	770	865	0x108b24	60	50029
#DONE bfs=65544	7	773	868	0x108b3c	60	50295
#DONE bfs=65544	8	774	869	0x108b3e	60	16456
#DONE bfs=65544	9	775	870	0x108b82	60	26946
#DONE bfs=65544	10	776	871	0x108b86	60	50295
#DONE bfs=65544	11	779	874	0x108b9a	60	48517
#DONE bfs=65544	12	780	875	0x108b9e	60	46010
#DONE bfs=65544	13	781	876	0x108ba4	60	36849
#DONE bfs=65544	14	782	877	0x108ba6	60	16454
#DONE bfs=65544	15	786	881	0x108bbc	60	46010
#DONE bfs=65544	16	814	909	0x108f06	60	50295
#DONE bfs=65544	17	816	911	0x108f1e	60	45529
#DONE bfs=65544	18	817	912	0x108f24	60	36849
#DONE bfs=65544	19	818	913	0x108f26	60	16454
#DONE bfs=65544	20	821	917	0x108f3c	60	45529
#DONE bfs=65544	21	822	918	0x108f3e	60	9558
#DONE bfs=65544	22	825	921	0x108f9a	60	47644
#DONE bfs=65544	23	829	925	0x108fb8	60	15883
#DONE bfs=65544	24	830	926	0x108fba	60	26063
#DONE bfs=131072	25	967	1068	0x10a990	60	8447
#DONE bfs=131072	26	969	1070	0x10a996	60	17658
#DONE bfs=131072	27	1051	1155	0x10adb0	60	8896
#DONE bfs=65544	28	1102	1206	0x10e382	60	50029
#DONE bfs=65544	29	1103	1207	0x10e386	60	60781
#DONE bfs=65544	30	1106	1210	0x10e39a	60	36849
#DONE bfs=65544	31	1107	1211	0x10e39e	60	41089
#DONE bfs=65544	32	1108	1212	0x10e3a2	60	36849
#DONE bfs=65544	33	1109	1213	0x10e3a6	60	45876
#DONE bfs=65544	34	1112	1216	0x10e3be	60	40662
#DONE bfs=65544	35	1113	1217	0x10e782	60	60781
#DONE bfs=65544	36	1114	1218	0x10e786	60	19904
#DONE bfs=65544	37	1117	1221	0x10e79a	60	45876
#DONE bfs=65544	38	1118	1222	0x10e79e	60	19913
#DONE bfs=65544	39	1119	1223	0x10e7a2	60	41089
#DONE bfs=65544	40	1120	1224	0x10e7a6	60	19912
#DONE bfs=65544	41	1123	1227	0x10e7ba	60	40661
42	1124	1228	0x10e7be	60	10069
43	1125	1229	0x10eb82	60	50295
44	1127	1231	0x10eb9a	60	46010
45	1128	1232	0x10eba2	60	45529
46	1129	1233	0x10eba4	60	45876
47	1130	1234	0x10eba6	60	27419
48	1135	1239	0x10ebb8	60	15884
49	1136	1240	0x10ebbc	60	54698
50	1137	1241	0x10ebbe	60	21931
51	1138	1242	0x10efa2	60	40661
52	1140	1244	0x10efba	60	25292
53	1267	1376	0x1122b0	60	24843
54	1308	1418	0x1123b0	60	58735
55	1458	1569	0x112914	60	8447
#DONE bfs=131072	56	1460	1571	0x11291e	60	8896
57	1525	1638	0x112ab0	60	38664
58	1571	1684	0x112bb0	60	28107
59	1795	1912	0x116590	60	81275
60	1851	1969	0x1166b0	60	25489
61	1894	2012	0x1167b0	60	57250
62	1911	2029	0x116d0e	60	20117
63	1913	2031	0x116d1e	60	23860
64	1963	2084	0x118d92	60	48517
65	1967	2088	0x118e0e	60	50295
66	1969	2090	0x118e1e	60	45529
67	1972	2093	0x118e2c	60	36849
68	1973	2094	0x118e2e	60	16456
69	1976	2097	0x118e3c	60	45529
70	1977	2098	0x118e3e	60	9558
71	1991	2113	0x118f92	60	47644
72	1994	2116	0x118fb0	60	15883
73	1995	2117	0x118fb2	60	26063
74	2123	2246	0x11a934	60	17658
75	2348	2481	0x11c124	60	24843
76	2350	2483	0x11c134	60	38664
77	2423	2558	0x11c524	60	58735
78	2426	2561	0x11c534	60	28107
79	3002	3155	0x11e934	60	45575
80	3122	3276	0x11ed34	60	56335
81	3215	3377	0x132a0c	60	16805
82	3216	3378	0x132a0e	60	30214
83	3217	3379	0x132a12	60	81275
84	3219	3381	0x132a1c	60	27872
85	3220	3382	0x132a1e	60	47702
86	3222	3384	0x132a2c	60	5639
87	3223	3385	0x132a2e	60	5069
88	3224	3386	0x132a32	60	25309
89	3227	3389	0x132a3c	60	43164
90	3228	3390	0x132a3e	60	40348
91	3244	3406	0x132ab0	60	25309
92	3360	3527	0x134628	60	50029
93	3361	3528	0x134638	60	50295
94	3363	3530	0x13463e	60	16456
95	3423	3590	0x1347b0	60	17282
96	3432	3599	0x134a8e	60	13620
97	3434	3601	0x134a98	60	27872
98	3436	3603	0x134a9e	60	13137
#DONE bfs=131072	99	3492	3659	0x134ea8	60	13620
100	3495	3662	0x134eb8	60	25667
101	3513	3680	0x134f30	60	41238
102	3536	3703	0x134fb0	60	10223
103	3542	3709	0x136306	60	26946
104	3544	3711	0x13630e	60	50295
105	3546	3713	0x136316	60	48517
106	3548	3715	0x13631e	60	46010
107	3580	3747	0x136728	60	36849
108	3582	3749	0x13672e	60	16455
109	3584	3751	0x136738	60	46010
110	3602	3769	0x1367b0	60	28110
111	3619	3786	0x13ae02	60	25489
112	3621	3788	0x13ae12	60	41238
113	3623	3790	0x13ae22	60	20117
114	3626	3793	0x13ae30	60	17282
115	3627	3794	0x13ae32	60	10223
116	3682	3852	0x13c628	60	36849
117	3684	3854	0x13c62e	60	16456
118	3685	3856	0x13c638	60	45529
119	3687	3858	0x13c63e	60	9562
120	3759	3932	0x13ca8e	60	25667
121	3761	3934	0x13ca98	60	27069
122	3763	3936	0x13ca9e	60	30619
123	3814	3988	0x13cea8	60	13137
124	3817	3991	0x13ceb8	60	30619
125	3868	4042	0x13e316	60	47644
126	3895	4069	0x13e730	60	15884
127	3897	4071	0x13e736	60	26064
128	3915	4092	0x18630e	60	60781
129	3917	4094	0x18631e	60	41089
130	3937	4114	0x18672e	60	45876
131	3939	4116	0x18673e	60	40661
132	3954	4131	0x186b8e	60	15392
133	3955	4132	0x186b98	60	57250
134	3957	4134	0x186b9e	60	15032
135	3966	4143	0x186fb8	60	9247
136	3984	4162	0x18c78e	60	19905
137	3985	4163	0x18c792	60	45876
138	3987	4165	0x18c79e	60	19913
139	3989	4167	0x18c7ae	60	19913
140	3990	4168	0x18c7b2	60	40661
141	3992	4170	0x18c7be	60	10071
142	3994	4173	0x18ca8e	60	45575
143	3997	4176	0x18ca9e	60	56335
144	4052	4232	0x18ceb8	60	23860
145	4091	4271	0x18e306	60	60781
146	4093	4273	0x18e30e	60	19904
147	4095	4275	0x18e316	60	45876
148	4097	4277	0x18e31e	60	19912
149	4129	4309	0x18e726	60	41089
150	4131	4311	0x18e72e	60	19913
151	4133	4313	0x18e736	60	40662
152	4135	4315	0x18e73e	60	10069
153	4156	4337	0x18eb86	60	29289
154	4158	4339	0x18eb8e	60	25303
155	4160	4341	0x18eb96	60	60065
156	4161	4342	0x18eb98	60	28110
157	4163	4344	0x18eb9e	60	36181
158	4177	4358	0x18efb8	60	4154
159	4199	4380	0x194b8c	60	50295
160	4200	4381	0x194b92	60	46010
161	4203	4384	0x194b9c	60	46010
162	4205	4386	0x194bac	60	45876
163	4206	4387	0x194bae	60	27421
164	4209	4390	0x194bbc	60	54698
165	4210	4391	0x194bbe	60	21933
166	4357	4538	0x196b0e	60	15392
167	4359	4540	0x196b14	60	47702
168	4361	4542	0x196b1e	60	15032
169	4403	4584	0x196f0e	60	36774
170	4405	4586	0x196f14	60	27469
171	4407	4588	0x196f1e	60	44033
172	4444	4625	0x19cf8c	60	45529
173	4445	4626	0x19cf8e	60	27420
174	4446	4627	0x19cf92	60	54698
175	4449	4630	0x19cf9e	60	21932
176	4450	4631	0x19cfac	60	40662
177	4451	4632	0x19cfb2	60	25292
178	4453	4634	0x19cfbc	60	25293
179	4470	4651	0x19e7b0	60	9247
180	4478	4659	0x19eb34	60	36774
181	4500	4681	0x19ef34	60	44033
182	4514	4695	0x19efb0	60	4154
183	4524	4705	0x318cb8	60	46010
184	4644	4831	0x31e0bc	60	19904
185	4645	4832	0x31e0be	60	27419
186	4656	4843	0x31e33c	60	16455
187	4657	4844	0x31e39e	60	19913
188	4658	4845	0x31e4a6	60	27419
189	4661	4848	0x31e4b8	60	45876
190	4662	4849	0x31e4ba	60	27421
191	4663	4850	0x31e4bc	60	27419
192	4683	4871	0x31e706	60	47644
193	4686	4875	0x31e71e	60	26064
194	4690	4879	0x31e798	60	45529
195	4691	4880	0x31e79a	60	27420
196	4692	4881	0x31e79e	60	22676
197	4693	4882	0x31e7a6	60	22676
198	4695	4885	0x31e7b8	60	40662
199	4696	4886	0x31e7bc	60	21932
200	4699	4889	0x31ecb8	60	54698
201	4700	4890	0x31ecba	60	21933
202	4701	4891	0x31ecbc	60	22676
203	4710	4900	0x31ef1e	60	25293
204	4711	4901	0x31ef3c	60	21932
205	4713	4903	0x32a592	60	43164
#DONE bfs=131072	206	4717	4907	0x32a5b2	60	40348
207	4729	4926	0x32a792	60	94202
208	5110	5318	0x33cf9c	60	9560
209	5212	5432	0x38e592	60	29289
210	5270	5492	0x38ed92	60	60065
211	5298	5520	0x39cd8e	60	19913
212	5300	5522	0x39cd9e	60	21932
213	5301	5523	0x39cdb2	60	21931
214	5303	5526	0x39cdbc	60	22676
215	5310	5533	0x39e592	60	25303
216	5342	5566	0x39ed92	60	36181
217	5357	5581	0x39ef9c	60	10069
218	5359	5583	0x3a61be	60	60024
219	5372	5596	0x3ae5b2	60	60024
